Source;Target;Value;GEO;Year;Tag
Crude Oil Production;Energy Production;3531;Alberta;1995;Super-Sankey
NGL's Production;Energy Production;568;Alberta;1995;Super-Sankey
Natural Gas Production;Energy Production;5030;Alberta;1995;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;8;Alberta;1995;Super-Sankey
Total Coal Production;Energy Production;819;Alberta;1995;Super-Sankey
Energy Use;Agriculture;47;Alberta;1995;Super-Sankey
Energy Use;Commercial;162;Alberta;1995;Super-Sankey
Total Energy Inputs;Energy Exports;705;Alberta;1995;Super-Sankey
Energy Imports;Total Energy Inputs;4;Alberta;1995;Super-Sankey
Total Energy Inputs;To Other Provinces;6975;Alberta;1995;Super-Sankey
Total Use;Non-energy use;379;Alberta;1995;Super-Sankey
Energy Use;Producer consumption;604;Alberta;1995;Super-Sankey
Energy Use;Public administration;14;Alberta;1995;Super-Sankey
Energy Use;Residential;169;Alberta;1995;Super-Sankey
Stocks;Total Energy Inputs;16;Alberta;1995;Super-Sankey
Energy Use;Industrial;402;Alberta;1995;Super-Sankey
Energy Use;Transportation;289;Alberta;1995;Super-Sankey
Crude Oil Production;Energy Production;49;Atlantic provinces;1995;Super-Sankey
NGL's Production;Energy Production;0;Atlantic provinces;1995;Super-Sankey
Natural Gas Production;Energy Production;0;Atlantic provinces;1995;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;150;Atlantic provinces;1995;Super-Sankey
Total Coal Production;Energy Production;78;Atlantic provinces;1995;Super-Sankey
Energy Use;Agriculture;9;Atlantic provinces;1995;Super-Sankey
Energy Use;Commercial;51;Atlantic provinces;1995;Super-Sankey
Total Energy Inputs;Energy Exports;453;Atlantic provinces;1995;Super-Sankey
Energy Imports;Total Energy Inputs;784;Atlantic provinces;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;20;Atlantic provinces;1995;Super-Sankey
Total Use;Non-energy use;29;Atlantic provinces;1995;Super-Sankey
Energy Use;Producer consumption;57;Atlantic provinces;1995;Super-Sankey
Energy Use;Public administration;26;Atlantic provinces;1995;Super-Sankey
Energy Use;Residential;82;Atlantic provinces;1995;Super-Sankey
Total Energy Inputs;Stocks;3;Atlantic provinces;1995;Super-Sankey
Energy Use;Industrial;119;Atlantic provinces;1995;Super-Sankey
Energy Use;Transportation;165;Atlantic provinces;1995;Super-Sankey
Crude Oil Production;Energy Production;97;British Columbia;1995;Super-Sankey
NGL's Production;Energy Production;18;British Columbia;1995;Super-Sankey
Natural Gas Production;Energy Production;757;British Columbia;1995;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;181;British Columbia;1995;Super-Sankey
Total Coal Production;Energy Production;743;British Columbia;1995;Super-Sankey
Energy Use;Agriculture;10;British Columbia;1995;Super-Sankey
Energy Use;Commercial;115;British Columbia;1995;Super-Sankey
Total Energy Inputs;Energy Exports;1;British Columbia;1995;Super-Sankey
Energy Imports;Total Energy Inputs;1;British Columbia;1995;Super-Sankey
From Other Provinces;Total Energy Inputs;1;British Columbia;1995;Super-Sankey
Total Use;Non-energy use;1;British Columbia;1995;Super-Sankey
Energy Use;Producer consumption;1;British Columbia;1995;Super-Sankey
Energy Use;Public administration;18;British Columbia;1995;Super-Sankey
Energy Use;Residential;134;British Columbia;1995;Super-Sankey
Total Energy Inputs;Stocks;1;British Columbia;1995;Super-Sankey
Energy Use;Industrial;250;British Columbia;1995;Super-Sankey
Energy Use;Transportation;316;British Columbia;1995;Super-Sankey
Crude Oil Production;Energy Production;4458;Canada;1995;Super-Sankey
NGL's Production;Energy Production;588;Canada;1995;Super-Sankey
Natural Gas Production;Energy Production;6129;Canada;1995;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;1530;Canada;1995;Super-Sankey
Total Coal Production;Energy Production;1801;Canada;1995;Super-Sankey
Energy Use;Agriculture;209;Canada;1995;Super-Sankey
Energy Use;Commercial;882;Canada;1995;Super-Sankey
Total Energy Inputs;Energy Exports;7485;Canada;1995;Super-Sankey
Energy Imports;Total Energy Inputs;2062;Canada;1995;Super-Sankey
Total Energy Inputs;To Other Provinces;0;Canada;1995;Super-Sankey
Total Use;Non-energy use;832;Canada;1995;Super-Sankey
Energy Use;Producer consumption;1056;Canada;1995;Super-Sankey
Energy Use;Public administration;143;Canada;1995;Super-Sankey
Energy Use;Residential;1256;Canada;1995;Super-Sankey
Stocks;Total Energy Inputs;75;Canada;1995;Super-Sankey
Energy Use;Industrial;2109;Canada;1995;Super-Sankey
Energy Use;Transportation;2065;Canada;1995;Super-Sankey
Crude Oil Production;Energy Production;26;Manitoba;1995;Super-Sankey
NGL's Production;Energy Production;0;Manitoba;1995;Super-Sankey
Primary electricity, hydro and nuclear Production;Energy Production;105;Manitoba;1995;Super-Sankey
